market_id,name,stripe_customer_id,stripe_account_id,balanced_customer_uri,balanced_customer_id,balanced_underwritten,entity_name,entity_type,entity_id
64,Virtual Monroe Farmers Market,cus_5uQ4cibMVG5h65,acct_15l1yRAhS5gXOhb4,/v1/customers/CU4dAmSJCI8gU0Di58EBjX1B,CU4dAmSJCI8gU0Di58EBjX1B,false,Monroe Farmers Market,market,64
57,Jack & Jakes School Sales,cus_5uQ5sKdr4Z7lVH,,/v1/customers/CU4tsJR64UWyIpRSRI2x8NUz,CU4tsJR64UWyIpRSRI2x8NUz,false,Jack & Jakes,market,57
18,Apple Ridge Farm,,,/v1/customers/CU48kl5kLA9EzU1EN6xZBnO2,CU48kl5kLA9EzU1EN6xZBnO2,true,Apple Ridge Farm,market,18
59,One Green Place,cus_5uQ5vbcWvhpw0e,,/v1/customers/CU5mBfM1bmJMw053UX73YmNx,CU5mBfM1bmJMw053UX73YmNx,false,One Green Place,market,59
58,Jack & Jake's Restaurant Sales,cus_5uQ5N67wl14Vga,,/v1/customers/CUbXwXHpNlyw8skzN8xwICS,CUbXwXHpNlyw8skzN8xwICS,false,Jack & Jake's Restaurant Sales,market,58
97,Tiny Diner Farmers' Market,cus_6GOv9OGMYCw7I0,,/v1/customers/CU7FMpIYZmXD5iOodXJuQcPt,CU7FMpIYZmXD5iOodXJuQcPt,false,Tiny Diner Farmers Market,market,97
70,Aglink Foodservice,cus_5uQ4apiz6U67W7,acct_15l1yTIacDq6O8zg,/v1/customers/CU6mwnbFOpZx0Ck8h9vNHdl8,CU6mwnbFOpZx0Ck8h9vNHdl8,false,Aglink Foodservice,market,70
92,Ohio Valley Food Connection ,cus_69bbhSTLCD4koO,,/v1/customers/CU6ZnwE2dYDcy8nNgJEB3lSa,CU6ZnwE2dYDcy8nNgJEB3lSa,false,Ohio Valley Food Connection,market,92
76,Squash Blossom WHOLESALE,cus_5uQ50xPQ2Wo4Hn,,/v1/customers/CUGkT08fAyBoyYPS6BvfxW2,CUGkT08fAyBoyYPS6BvfxW2,false,NM Farm to Restaurant,market,76
60,Mini Mac Farm,cus_5uQ41kjFys9M09,,/v1/customers/CU4TsU0a8oKIR0elYRftsLXN,CU4TsU0a8oKIR0elYRftsLXN,false,Mini Mac Farm,market,60
